order_id,customer_id,product_id,quantity,unit_price,currency,order_status,order_date
ORD_00001,CUST_0069,PROD_014,5,236.68,EUR,DELIVERED,2026-03-31 02:00:00
ORD_00002,CUST_0032,PROD_024,3,103.04,USD,DELIVERED,2026-05-20 22:00:00
ORD_00003,CUST_0039,PROD_040,5,498.08,USD,SHIPPED,2026-05-22 09:00:00
ORD_00004,CUST_0085,PROD_007,2,57.49,EUR,DELIVERED,2026-01-28 23:00:00
ORD_00005,CUST_0071,PROD_010,3,39.69,EUR,DELIVERED,2026-07-03 10:00:00
ORD_00006,CUST_0027,PROD_017,5,419.64,EUR,DELIVERED,2026-01-14 02:00:00
ORD_00007,CUST_0082,PROD_028,3,87.13,USD,DELIVERED,2026-07-17 04:00:00
ORD_00008,CUST_0082,PROD_017,2,419.64,GBP,DELIVERED,2026-06-30 13:00:00
ORD_00009,CUST_0072,PROD_001,1,453.65,USD,PROCESSING,2026-06-26 04:00:00
ORD_00010,CUST_0070,PROD_003,3,337.79,GBP,DELIVERED,2026-04-21 04:00:00
ORD_00011,CUST_0006,PROD_020,3,90.66,USD,PROCESSING,2026-02-23 21:00:00
ORD_00012,CUST_0032,PROD_007,3,57.49,GBP,PROCESSING,2026-04-15 19:00:00
ORD_00013,CUST_0096,PROD_010,2,39.69,USD,CANCELLED,2026-02-15 13:00:00
ORD_00014,CUST_0004,PROD_012,3,103.87,EUR,SHIPPED,2026-07-08 07:00:00
ORD_00015,CUST_0035,PROD_011,1,402.28,EUR,PROCESSING,2026-05-01 07:00:00
ORD_00016,CUST_0026,PROD_030,3,43.29,EUR,SHIPPED,2026-02-28 07:00:00
ORD_00017,CUST_0004,PROD_013,4,78.68,EUR,DELIVERED,2026-01-18 08:00:00
ORD_00018,CUST_0045,PROD_033,4,313.49,GBP,CANCELLED,2026-05-18 10:00:00
ORD_00019,CUST_0004,PROD_008,3,217.54,USD,DELIVERED,2026-03-09 01:00:00
ORD_00020,CUST_0014,PROD_039,4,14.55,EUR,SHIPPED,2026-03-22 13:00:00
ORD_00020,CUST_0014,PROD_039,4,14.55,EUR,SHIPPED,2026-03-22 13:00:00
ORD_00021,CUST_0078,PROD_033,1,313.49,EUR,PROCESSING,2026-02-18 08:00:00
ORD_00022,CUST_0006,PROD_028,1,87.13,GBP,PROCESSING,2026-05-18 21:00:00
ORD_00023,CUST_0093,PROD_013,3,78.68,EUR,DELIVERED,2026-06-20 10:00:00
ORD_00024,CUST_0080,PROD_021,1,139.94,GBP,PROCESSING,2026-05-10 09:00:00
ORD_00025,CUST_0086,PROD_027,3,296.24,EUR,SHIPPED,2026-05-22 04:00:00
ORD_00026,CUST_0025,PROD_027,4,296.24,GBP,SHIPPED,2026-02-14 19:00:00
ORD_00027,CUST_0073,PROD_020,4,90.66,GBP,SHIPPED,2026-03-19 09:00:00
ORD_00028,CUST_0027,PROD_028,5,87.13,GBP,SHIPPED,2026-04-30 14:00:00
ORD_00029,CUST_0057,PROD_014,5,236.68,EUR,SHIPPED,2026-07-08 05:00:00
ORD_00030,CUST_0085,PROD_006,3,405.66,GBP,SHIPPED,2026-06-08 10:00:00
ORD_00031,CUST_0012,PROD_016,3,57.97,USD,SHIPPED,2026-02-07 00:00:00
ORD_00032,CUST_0006,PROD_016,4,57.97,GBP,SHIPPED,2026-01-19 14:00:00
ORD_00033,CUST_0054,PROD_037,2,339.12,GBP,SHIPPED,2026-05-07 12:00:00
ORD_00034,CUST_0032,PROD_010,1,39.69,USD,SHIPPED,2026-02-26 05:00:00
ORD_00035,CUST_0090,PROD_034,4,286.95,USD,DELIVERED,2026-02-01 14:00:00
ORD_00036,CUST_0018,PROD_030,5,43.29,GBP,DELIVERED,2026-07-13 14:00:00
ORD_00037,CUST_0079,PROD_033,4,313.49,GBP,DELIVERED,2026-02-10 23:00:00
ORD_00038,CUST_0061,PROD_029,3,427.15,USD,SHIPPED,2026-03-12 16:00:00
ORD_00039,CUST_0063,PROD_016,3,57.97,EUR,DELIVERED,2026-03-15 07:00:00
ORD_00040,CUST_0035,PROD_022,3,149.76,GBP,DELIVERED,2026-02-08 07:00:00
ORD_00040,CUST_0035,PROD_022,3,149.76,GBP,DELIVERED,2026-02-08 07:00:00
ORD_00041,CUST_0050,PROD_010,2,39.69,USD,DELIVERED,2026-03-26 17:00:00
ORD_00042,CUST_0060,PROD_027,1,296.24,USD,SHIPPED,2026-04-10 18:00:00
ORD_00043,CUST_0090,PROD_002,5,44.71,EUR,DELIVERED,2026-04-01 09:00:00
ORD_00044,CUST_0097,PROD_025,4,293.79,GBP,SHIPPED,2026-05-20 19:00:00
ORD_00045,CUST_0029,PROD_032,2,130.64,EUR,DELIVERED,2026-01-08 12:00:00
ORD_00046,CUST_0044,PROD_026,2,376.5,EUR,PROCESSING,2026-06-09 17:00:00
ORD_00047,CUST_0004,PROD_026,5,376.5,GBP,SHIPPED,2026-01-22 20:00:00
ORD_00048,CUST_0055,PROD_009,4,339.94,USD,DELIVERED,2026-04-08 10:00:00
ORD_00049,CUST_0028,PROD_030,3,43.29,EUR,SHIPPED,2026-04-08 08:00:00
ORD_00050,CUST_0097,PROD_027,3,296.24,USD,DELIVERED,2026-07-11 17:00:00
ORD_00051,CUST_0007,PROD_023,2,334.31,GBP,DELIVERED,2026-06-16 01:00:00
ORD_00052,CUST_0097,PROD_002,2,44.71,USD,SHIPPED,2026-06-09 04:00:00
ORD_00053,CUST_0031,PROD_009,4,339.94,GBP,DELIVERED,2026-02-25 14:00:00
ORD_00054,CUST_0090,PROD_017,3,419.64,USD,DELIVERED,2026-07-11 22:00:00
ORD_00055,CUST_0015,PROD_011,3,402.28,USD,DELIVERED,2026-03-21 18:00:00
ORD_00056,CUST_0087,PROD_025,4,293.79,GBP,DELIVERED,2026-06-01 22:00:00
ORD_00057,CUST_0081,PROD_016,1,57.97,GBP,SHIPPED,2026-06-25 19:00:00
ORD_00058,CUST_0016,PROD_037,1,339.12,EUR,DELIVERED,2026-06-19 11:00:00
ORD_00059,CUST_0009,PROD_033,3,313.49,USD,SHIPPED,2026-05-06 03:00:00
ORD_00060,CUST_0056,PROD_024,4,103.04,GBP,DELIVERED,2026-02-15 23:00:00
ORD_00060,CUST_0056,PROD_024,4,103.04,GBP,DELIVERED,2026-02-15 23:00:00
ORD_00061,CUST_0067,PROD_018,5,91.48,GBP,SHIPPED,2026-04-30 13:00:00
ORD_00062,CUST_0094,PROD_038,3,164.92,EUR,PROCESSING,2026-01-23 08:00:00
ORD_00063,CUST_0058,PROD_016,4,57.97,GBP,DELIVERED,2026-04-08 10:00:00
ORD_00064,CUST_0004,PROD_032,3,130.64,USD,DELIVERED,2026-04-01 08:00:00
ORD_00065,CUST_0044,PROD_018,5,91.48,GBP,PROCESSING,2026-05-23 00:00:00
